_Document_	_Target_	slice
946842355382079488	positive	train
960953084577972224	negative	train
949503318325448709	negative	train
945682890389516288	positive	train
946718837323399168	positive	train
961073553377341440	negative	train
958500939245203456	negative	train
946391471904755713	positive	train
948849963185745920	negative	train
945797722044555264	positive	train
947882618284072962	negative	train
949942994622468097	negative	train
949501758027411456	negative	train
949995142408269824	negative	train
949808286165032960	negative	train
945142416566341632	positive	train
947771037206290433	negative	train
946945359095373824	positive	train
950064461653536768	negative	train
945624006534852609	positive	train
950033990035169288	negative	train
948821324473909248	negative	train
945806987257790465	positive	train
944934056134713345	positive	train
947574827686043648	negative	train
958892058084806656	negative	train
945406166976401408	positive	train
948771408070434816	negative	train
944907850119127041	positive	train
949116330858311681	negative	train
945248830248947712	positive	train
945328069035941889	positive	train
949109246683095040	negative	train
947365808728039424	positive	train
945036002871201794	positive	train
949249709738283008	negative	train
946045102077616129	positive	train
947163437766926341	positive	train
961610281649569793	negative	train
946055025805152257	positive	train
946177264621846529	positive	train
948276383716921348	negative	train
945029900167237632	positive	train
950006546703925249	negative	train
946391857789067264	positive	train
949462247692210178	negative	train
959072689997541376	negative	train
950116290684841984	negative	train
958554475358248960	negative	train
946843403970637825	positive	train
948929554323668992	negative	train
945196938311487488	positive	train
961653201979236353	negative	train
945755426678718464	positive	train
948450044709044225	negative	train
946799531538112512	positive	train
958608326022934529	negative	train
959108677134376961	negative	train
948240329513332736	negative	train
945266932860649473	positive	train
946218226161037313	positive	train
960691758454788097	negative	train
949870718354780161	negative	train
958911574202134528	negative	train
946038588331851776	positive	train
946854846035922944	positive	train
948719247693418498	negative	train
961605240117190656	negative	train
960788739160182785	negative	train
945070580696604678	positive	train
946254406223319041	positive	train
947163848792035328	positive	train
945352253400948736	positive	train
945259357939232769	positive	train
945366404974354432	positive	train
945660794804559873	positive	train
947706231027777537	negative	train
946091419785154566	positive	train
949507344827760641	negative	train
945500383639564288	positive	train
946315336906956801	positive	train
959282757527527425	negative	train
961321709348511745	negative	train
946167839987089408	positive	train
945525679470161920	positive	train
948213821486743552	negative	train
950035130881462275	negative	train
946169626756497409	positive	train
949305573668868097	negative	train
945356414154878976	positive	train
945036732701073408	positive	train
945675105740509184	positive	train
945342740694310913	positive	train
947271965345230852	positive	train
945715912149225472	positive	train
946409540974768133	positive	train
948954313300283392	negative	train
960650448758743040	negative	train
945766285719343105	positive	train
959052809017659392	negative	train
945050427065819141	positive	train
949402315269734400	negative	train
949541167695368192	negative	train
949911893853925376	negative	train
944859745633972224	positive	train
947347706095198209	positive	train
961621149095428097	negative	train
948373104362864640	negative	train
945328765306945537	positive	train
947546159614189568	negative	train
947467797403258880	positive	train
959346880034557953	negative	train
949694465341497344	negative	train
961679647078526978	negative	train
948267877701910528	negative	train
946200505260187648	positive	train
946597802297188352	positive	train
946431573636853760	positive	train
961296673568784385	negative	train
958515988403752960	negative	train
945935454578278400	positive	train
945404338251419648	positive	train
946926581217456128	positive	train
946828426094268417	positive	train
961446166960459776	negative	train
946056791594434560	positive	train
960685576067342336	negative	train
947346531690188803	positive	train
947314592086216705	positive	train
949366584010657792	negative	train
946404159682699264	positive	train
945757972612890625	positive	train
949248698906636288	negative	train
946972638877958144	positive	train
961626773686575104	negative	train
945618012895350785	positive	train
945671339247054848	positive	train
950034665326432256	negative	train
961769073808957441	negative	train
946463219681497088	positive	train
946830439389446144	positive	train
945083998279274496	positive	train
961840842540400640	negative	train
946601317136338944	positive	train
948960743134715904	negative	train
948118828915052544	negative	train
947412113823289344	positive	train
946511378667450368	positive	train
947267993364398081	positive	train
945982179150049281	positive	train
947994677504036865	negative	train
960894964073934849	negative	train
949095921358462976	negative	train
961006712932139008	negative	train
949416752089149440	negative	train
944843513685983233	positive	train
945615760537174016	positive	train
946386359035379712	positive	train
947484457191256064	positive	train
959163060484063232	negative	train
958588877048025088	negative	train
958698948163596289	negative	train
960730031495397376	negative	train
946265693107798016	positive	train
945431336998891521	positive	train
945483317012549632	positive	train
958816707434475525	negative	train
949503267993739264	negative	train
949337647490748416	negative	train
949697795593850881	negative	train
945336977754415104	positive	train
959060144830189574	negative	train
946021056136884224	positive	train
944883313419972609	positive	train
948597524813762566	negative	train
950013614106316800	negative	train
945903686932402176	positive	train
945330174563966976	positive	train
961036161127976960	negative	train
949211344431132674	negative	train
945181985617702912	positive	train
945762175326605313	positive	train
945435279627780096	positive	train
947220924864040960	positive	train
944887767774965760	positive	train
958733509220188162	negative	train
945831637165723648	positive	train
960884985837187072	negative	train
961253954586841088	negative	train
950030722663960576	negative	train
961914339329376256	negative	train
950036741527932928	negative	train
945143196694253568	positive	train
948418885207781376	negative	train
946077725395054592	positive	train
959101609744543745	negative	train
961309164189507584	negative	train
946840170149613568	positive	train
961519391111241728	negative	train
947998267823964161	negative	train
945962285532663814	positive	train
944996605765206016	positive	train
961903069272272897	negative	train
949405637170966528	negative	train
948035647457120258	negative	train
950030697506508801	negative	train
945467974256697345	positive	train
946820641466077186	positive	train
949291036215521281	negative	train
947169431419019264	positive	train
947630356051591168	negative	train
949384397207326720	negative	train
959031518713716738	negative	train
946834600109793285	positive	train
945821650519457793	positive	train
946324052657913857	positive	train
961164590741467136	negative	train
958472602548252672	negative	train
949310892029521931	negative	train
945729690442092544	positive	train
961941497473044495	negative	train
944917190817357824	positive	train
961353581872939009	negative	train
949334560499642369	negative	train
947656679520313345	negative	train
945399703566475265	positive	train
949777390909186048	negative	train
958889780594475012	negative	train
949967896184328193	negative	train
948208129820332034	negative	train
949223851837149184	negative	train
945175991982403584	positive	train
949719039743614976	negative	train
961983830558232576	negative	train
961426139121004544	negative	train
945838142527066113	positive	train
947504195581517824	positive	train
946867835803971584	positive	train
961474365253718016	negative	train
958969988286627840	negative	train
961421177267806213	negative	train
947304739674341376	positive	train
945950600209997824	positive	train
945916060120662016	positive	train
948561915189579776	negative	train
947352772843835392	positive	train
945328182290300929	positive	train
959031791343546368	negative	train
949547429820600320	negative	train
947455361304363008	positive	train
947137936365096960	positive	train
946424497850212352	positive	train
947570281023004672	negative	train
949249437112590337	negative	train
945329314735775744	positive	train
947324369017094145	positive	train
944894445123768320	positive	train
958670846310182913	negative	train
945507056752250880	positive	train
949874321266233349	negative	train
947211584178458626	positive	train
949549073983455232	negative	train
946329350072287232	positive	train
946865273084305408	positive	train
948137036359245825	negative	train
958882822248386566	negative	train
947327137253609474	positive	train
947529025857220608	positive	train
944909934667485185	positive	train
949228268456210432	negative	train
945411590207295488	positive	train
944965026863026178	positive	train
946292918331039744	positive	train
946947426899947520	positive	train
960739548333531136	negative	train
947507697829761025	positive	train
961701805573967876	negative	train
961067538745454592	negative	train
945038641100873728	positive	train
945116697098203136	positive	train
946778333521494027	positive	train
947238264150347778	positive	train
945473808504377344	positive	train
959065329015181315	negative	train
945984926419247106	positive	train
947383638722797568	positive	train
947538442090635264	positive	train
961989765514932224	negative	train
948629527369887744	negative	train
959216672082145280	negative	train
945833553979375616	positive	train
948074797107499008	negative	train
945412894648426497	positive	train
945596680665292806	positive	train
947240629729415168	positive	train
944848421004836867	positive	train
946914828756635648	positive	train
948313096484945922	negative	train
945672681453752320	positive	train
961971394480300032	negative	train
958413483837554688	negative	train
949405138053226497	negative	train
961055933081235456	negative	train
961027525051895808	negative	train
944884445894635520	positive	train
949802909079887873	negative	train
948743352375267328	negative	train
946745211123851265	positive	train
960855579572006912	negative	train
961365338502901760	negative	train
947878843393511424	negative	train
961625741883473920	negative	train
961687419098722304	negative	train
946531985295663106	positive	train
948216602314596352	negative	train
946059366926602240	positive	train
945330023594110977	positive	train
946715792250490880	positive	train
958780749678809088	negative	train
947286037243531264	positive	train
947124745312407552	positive	train
961816595281530880	negative	train
950040357009592325	negative	train
946095567934914560	positive	train
947298238469636097	positive	train
946770666350559232	positive	train
960847992096899072	negative	train
947480787196133377	positive	train
950043200718327808	negative	train
958845300013068288	negative	train
945537100576784385	positive	train
947617978652098560	negative	train
944948157384970241	positive	train
946932843300737029	positive	train
961181573478367233	negative	train
947025516439244801	positive	train
949516849129009152	negative	train
946337029830467585	positive	train
946237914224185345	positive	train
944844537079435264	positive	train
948680014182023168	negative	train
947316907329306627	positive	train
949727457719955456	negative	train
947344933681225728	positive	train
958844872198447105	negative	train
948336274192195585	negative	train
961167405102673920	negative	train
961059401766326272	negative	train
949644154652512258	negative	train
958542982965207045	negative	train
945337254578393089	positive	train
946150848865894401	positive	train
950072384723222533	negative	train
947464454542970880	positive	train
948909279054106625	negative	train
961646553990537216	negative	train
960984097249288193	negative	train
958869807339745280	negative	train
947152373188780037	positive	train
961031253825908736	negative	train
958760793155219456	negative	train
948060087683371008	negative	train
960706329462562817	negative	train
948366083135885312	negative	train
945788821702041600	positive	train
962040072001306627	negative	train
945118907496583168	positive	train
948819344775053312	negative	train
960610128910172160	negative	train
947201173903339520	positive	train
950127430756392962	negative	train
946051892676841472	positive	train
961163978343776256	negative	train
947114066576674818	positive	train
947206920103804928	positive	train
945099320092631041	positive	train
949915450640556032	negative	train
944942520206856195	positive	train
948683453536653312	negative	train
946263512074080256	positive	train
958824940870012928	negative	train
944961616889737217	positive	train
945364697892642816	positive	train
946623525963513856	positive	train
947664510294179840	negative	train
948803549005254656	negative	train
947009812990062593	positive	train
961939672938119169	negative	train
947101773071761410	positive	train
947520784062386176	positive	train
947079211918995456	positive	train
946412833473945601	positive	train
959144370665672704	negative	train
958407104297144320	negative	train
946721513289535488	positive	train
947134899697287168	positive	train
945989410105036800	positive	train
946787292571566081	positive	train
947869456532983810	negative	train
946952996939853825	positive	train
960873170508173312	negative	train
949503389620101122	negative	train
946503795369967617	positive	train
947430765926555648	positive	train
949791571867824128	negative	train
949162833089982464	negative	train
947299870074900480	positive	train
947394631964250112	positive	train
947774753376473088	negative	train
949930562701021184	negative	train
949149671393452038	negative	train
945714758715658240	positive	train
947563603703488512	negative	train
949630225373003776	negative	train
949772638775263232	negative	train
949957343327879168	negative	train
945216928368361472	positive	train
961290411451990016	negative	train
946958676002201600	positive	train
946307040569278464	positive	train
961428093683380224	negative	train
949781933352988674	negative	train
945101094287314944	positive	train
961413195528396800	negative	train
946182280984367104	positive	train
949033602418987008	negative	train
949285025761161217	negative	train
946770293070086144	positive	train
959181867743416328	negative	train
946505468872028160	positive	train
961208119236939776	negative	train
948981320386056192	negative	train
946264241887068160	positive	train
946431078700429312	positive	train
949863634209071105	negative	train
961329095517679616	negative	train
946857937225396224	positive	train
949163365770911744	negative	train
949333545465638913	negative	train
944879689562296320	positive	train
961437325342527488	negative	train
946067814238081024	positive	train
946202925335945217	positive	train
945264433038684160	positive	train
948370147382763525	negative	train
949018343507337216	negative	train
958673195124523013	negative	train
947236259252129792	positive	train
946429250013356032	positive	train
944960056621129728	positive	train
946987675453706240	positive	train
946143278151491586	positive	train
945605018928869377	positive	train
949589121206435840	negative	train
944999898289754113	positive	train
959294153434648576	negative	train
945779397134446592	positive	train
946782838208319493	positive	train
949508846392958976	negative	train
947534893713641472	positive	train
946429140936339456	positive	train
944914498061660160	positive	train
947243121116622849	positive	train
947804600039456770	negative	train
959360402462203904	negative	train
946711115609735169	positive	train
945644273420169216	positive	train
946078874638671872	positive	train
947097960478687232	positive	train
960840496850534400	negative	train
958703570270015488	negative	train
946547286112391168	positive	train
946148420367958017	positive	train
958655876855775232	negative	train
948985279817240576	negative	train
945447115978928128	positive	train
958450293049507840	negative	train
945630767765372928	positive	train
945332879915126784	positive	train
961602526389907458	negative	train
947518003234553861	positive	train
947249592957054976	positive	train
946549047690657793	positive	train
945295659652890626	positive	train
945424311522906112	positive	train
946537748235804678	positive	train
961666497927172096	negative	train
948397309712371712	negative	train
946583440991969280	positive	train
946719055422951424	positive	train
947445005563629568	positive	train
945129846249844736	positive	train
949719740209082370	negative	train
960643091957985281	negative	train
949816330823155712	negative	train
949851437160390656	negative	train
948202538809085953	negative	train
948107823053004800	negative	train
945340224133124096	positive	train
946072692230361090	positive	train
958797019379724288	negative	train
958673144788627456	negative	train
945703731869335552	positive	train
959122845472313344	negative	train
961708394813026308	negative	train
948505971541860353	negative	train
946068451784843266	positive	train
946997456574742529	positive	train
961621786633932801	negative	train
946127734060863489	positive	train
949069098788573185	negative	train
947168265393938432	positive	train
958897514903756800	negative	train
949294420985372672	negative	train
948989486716788737	negative	train
960668199049220097	negative	train
945428363228991488	positive	train
958614227413098496	negative	train
946879756011757568	positive	train
949075138586251264	negative	train
947973475292950528	negative	train
944939466791247872	positive	train
947691358013329409	negative	train
947375732430213121	positive	train
958669118248337408	negative	train
945845293840449537	positive	train
949858420659818497	negative	train
945139862210056198	positive	train
948866929132953601	negative	train
947623242503720960	negative	train
945519174096490496	positive	train
945147739146514432	positive	train
946132729493585920	positive	train
960807324108623872	negative	train
946711459559600128	positive	train
948719423883546624	negative	train
961338952157450240	negative	train
945354702874730498	positive	train
945726783789207552	positive	train
946277508487323649	positive	train
944952473290190849	positive	train
949898396587900928	negative	train
949875315312136193	negative	train
961944580290617344	negative	train
949299428992700416	negative	train
961434901043208194	negative	train
946152874727432199	positive	train
946814219994800128	positive	train
945274222561185792	positive	train
946207950116347904	positive	train
950023395235717120	negative	train
945325967676907520	positive	train
949922052449939456	negative	train
948703468734251008	negative	train
947119586301837316	positive	train
944923700398252032	positive	train
945184443471417344	positive	train
946785979733630976	positive	train
948024641611816962	negative	train
948304091301777408	negative	train
950027086231728128	negative	train
945567974856982528	positive	train
946905735518216192	positive	train
959150662109007873	negative	train
949809821292945408	negative	train
947476139869601792	positive	train
947456774768128001	positive	train
961468832958373888	negative	train
960858968573784065	negative	train
945933038680031233	positive	train
946529607121022976	positive	train
946760004442509313	positive	train
961780616529367040	negative	train
947970971306164225	negative	train
947829304473391104	negative	train
950071399057625089	negative	train
948899426604601344	negative	train
959382204471275521	negative	train
946116220712927233	positive	train
947506263360929792	positive	train
946680618833690626	positive	train
948953520576827392	negative	train
945333962045566977	positive	train
950145898276847621	negative	train
961490882418626560	negative	train
946057567549063169	positive	train
948413201938513920	negative	train
945879762618032128	positive	train
946718724073037827	positive	train
946087246465155072	positive	train
958974287443996673	negative	train
960871622801436678	negative	train
959247793801039872	negative	train
947301094811717632	positive	train
947673146336821249	negative	train
961202553382948864	negative	train
946751720683655168	positive	train
946881026873348096	positive	train
945249094469120000	positive	train
948418251867881473	negative	train
946434388019032065	positive	train
946598133642883072	positive	train
958882692216565760	negative	train
945504825403252736	positive	train
945593778211082240	positive	train
961366328367034369	negative	train
949889097807482880	negative	train
945201241692438533	positive	train
960998370474049536	negative	train
945581409175003136	positive	train
949673011447324673	negative	train
946262434125418496	positive	train
949092305901891586	negative	train
959337065363202048	negative	train
950115636377657344	negative	train
947783989217058816	negative	train
949680104019410944	negative	train
947899332585500673	negative	train
961602937427546112	negative	train
959411044518113280	negative	train
948945320674816000	negative	train
946530005554728960	positive	train
949794738563178501	negative	train
950027237197152256	negative	train
961340009117900801	negative	train
946863582741905410	positive	train
949690069681692672	negative	train
945297681324367874	positive	train
945303855331504130	positive	train
945236817770508288	positive	train
947396095792971777	positive	train
947531383072874497	positive	train
959288688285949954	negative	train
947022890804924417	positive	train
947901106750926849	negative	train
945405172947316736	positive	train
958921153971671040	negative	train
946008557094289408	positive	train
